UUID,User Type,State,District,Block,Cluster,School,School Id,Organisation,Program,Program Id,Observation,Observation Id,Observation Submission Id,Submission Date,Domain,Criteria,Question Id,Question,Question Response Label,Question Score,Evidences,Remarks
mentor-0001,Mentor,Haryana,Ambala,Ambala-I,Cluster-A,Govt Model School Ambala,SCH-1001,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 1 Classroom Visit,OBS-0001,OBS-0001-SUB-01,2026-06-01T09:15:00+05:30,Classroom Practice,Teaching Methods,Q-101,Does the teacher use activity-based learning materials?,Yes,4,https://example.com/sample-evidence/obs1-q101.jpg,Observed during morning session
mentor-0001,Mentor,Haryana,Ambala,Ambala-I,Cluster-A,Govt Model School Ambala,SCH-1001,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 1 Classroom Visit,OBS-0001,OBS-0001-SUB-01,2026-06-01T09:15:00+05:30,Classroom Practice,Student Engagement,Q-102,Are students actively participating in group discussion?,Yes,3,https://example.com/sample-evidence/obs1-q102.jpg,Null
mentor-0001,Mentor,Haryana,Ambala,Ambala-I,Cluster-A,Govt Model School Ambala,SCH-1001,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 1 Classroom Visit,OBS-0001,OBS-0001-SUB-01,2026-06-01T09:15:00+05:30,Infrastructure,Learning Environment,Q-103,Is the classroom display board updated with current topics?,No,1,https://example.com/sample-evidence/obs1-q103.jpg,Display board outdated
mentor-0001,Mentor,Haryana,Ambala,Ambala-II,Cluster-B,Govt Girls School Ambala,SCH-1002,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 2 Classroom Visit,OBS-0002,OBS-0002-SUB-01,2026-06-15T10:30:00+05:30,Classroom Practice,Teaching Methods,Q-101,Does the teacher use activity-based learning materials?,Yes,4,https://example.com/sample-evidence/obs2-q101.jpg,Null
mentor-0001,Mentor,Haryana,Ambala,Ambala-II,Cluster-B,Govt Girls School Ambala,SCH-1002,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 2 Classroom Visit,OBS-0002,OBS-0002-SUB-01,2026-06-15T10:30:00+05:30,Student Engagement,Student Engagement,Q-102,Are students actively participating in group discussion?,No,2,https://example.com/sample-evidence/obs2-q102.jpg,Few students participating
mentor-0001,Mentor,Haryana,Ambala,Ambala-II,Cluster-B,Govt Girls School Ambala,SCH-1002,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 2 Classroom Visit,OBS-0002,OBS-0002-SUB-01,2026-06-15T10:30:00+05:30,Infrastructure,Learning Environment,Q-103,Is the classroom display board updated with current topics?,Yes,4,https://example.com/sample-evidence/obs2-q103.jpg,Null
mentor-0002,Mentor,Haryana,Panchkula,Panchkula-I,Cluster-C,Govt Senior School Panchkula,SCH-2001,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 1 Classroom Visit,OBS-0003,OBS-0003-SUB-01,2026-06-03T11:00:00+05:30,Classroom Practice,Teaching Methods,Q-101,Does the teacher use activity-based learning materials?,No,2,https://example.com/sample-evidence/obs3-q101.jpg,Traditional lecture style observed
mentor-0002,Mentor,Haryana,Panchkula,Panchkula-I,Cluster-C,Govt Senior School Panchkula,SCH-2001,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 1 Classroom Visit,OBS-0003,OBS-0003-SUB-01,2026-06-03T11:00:00+05:30,Student Engagement,Student Engagement,Q-102,Are students actively participating in group discussion?,Yes,4,https://example.com/sample-evidence/obs3-q102.jpg,Null
mentor-0002,Mentor,Haryana,Panchkula,Panchkula-I,Cluster-C,Govt Senior School Panchkula,SCH-2001,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 1 Classroom Visit,OBS-0003,OBS-0003-SUB-01,2026-06-03T11:00:00+05:30,Infrastructure,Learning Environment,Q-103,Is the classroom display board updated with current topics?,Yes,3,https://example.com/sample-evidence/obs3-q103.jpg,Null
mentor-0002,Mentor,Haryana,Panchkula,Panchkula-II,Cluster-D,Govt Primary School Panchkula,SCH-2002,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 2 Classroom Visit,OBS-0004,OBS-0004-SUB-01,2026-06-18T09:45:00+05:30,Classroom Practice,Teaching Methods,Q-101,Does the teacher use activity-based learning materials?,Yes,4,https://example.com/sample-evidence/obs4-q101.jpg,Null
mentor-0002,Mentor,Haryana,Panchkula,Panchkula-II,Cluster-D,Govt Primary School Panchkula,SCH-2002,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 2 Classroom Visit,OBS-0004,OBS-0004-SUB-01,2026-06-18T09:45:00+05:30,Student Engagement,Student Engagement,Q-102,Are students actively participating in group discussion?,Yes,3,https://example.com/sample-evidence/obs4-q102.jpg,Null
mentor-0002,Mentor,Haryana,Panchkula,Panchkula-II,Cluster-D,Govt Primary School Panchkula,SCH-2002,Sample Org,Classroom Observation Program,PGM-SAMPLE-01,Term 2 Classroom Visit,OBS-0004,OBS-0004-SUB-01,2026-06-18T09:45:00+05:30,Infrastructure,Learning Environment,Q-103,Is the classroom display board updated with current topics?,No,1,https://example.com/sample-evidence/obs4-q103.jpg,Display board missing
